city,district,neigborhood,room,living_room,area,age,floor,price
ankara,yenimahalle,yeni_bati,2,1,85,0,6,240
istanbul,sariyer,cayirbasi,3,1,140,16,5,520
istanbul,kadikoy,suadiye,2,1,100,5,5,670
edirne,merkez,istasyon,1,1,40,6,7,130
izmir,buca,ataturk,1,1,60,4,1,150
istanbul,besiktas,dikilitas,3,1,140,25,1,320
balikesir,altieylul,plevne,3,1,160,11,3,280
balikesir,altieylul,1_gundogan,2,1,110,16,3,225
istanbul,arnavutkoy,anadolu,2,1,85,1,5,180
istanbul,arnavutkoy,anadolu,2,1,80,1,0,160
istanbul,beykoz,acarlar,4,1,200,11,0,1100
ankara,golbasi,eymir,1,1,60,3,4,220
izmir,bornova,mevlana,1,1,55,10,2,230
izmir,bornova,mevlana,1,1,100,0,7,300
adana,saricam,gultepe,1,1,55,5,2,100
tekirdag,suleymanpasa,ciftlikonu,2,1,111,1,2,300
bursa,nilufer,balkan,2,1,135,0,4,165
mugla,bodrum,golkoy,3,1,150,0,2,2000
mugla,bodrum,turkbuku,1,1,50,11,-1,2500
mugla,bodrum,golkoy,3,1,110,0,2,1800
mugla,bodrum,yalikavak,1,1,70,3,2,1500
mugla,bodrum,turkbuku,2,1,140,1,5,1600
mugla,bodrum,turkbuku,2,1,150,10,5,500
mugla,bodrum,dirmil,2,1,90,12,2,3500
mugla,bodrum,turkbuku,2,1,120,3,-1,3000
