"img-link href","list-view-image src","photo-count","list-view-price","list-view-date","list-view-title","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","eids-badge__description","eids-badge__label","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/ankara-cankaya-fakulteler-kiralik/daire/49154-840","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/4/9/6/5/9/3/4/9501ea79-3a4d-4135-b02b-727a6bd49964.jpg","13","18.000","19-01-2025","Çankaya Cebeci Kiralık Daire 2+1","2 +
                          1","85 m²","45
                        Yaşında","Giriş Katı","Ankara / Çankaya / Fakülteler Mah.","https://www.hepsiemlak.com/emlak-ofisi/eser-emlak-49154","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/5/1/9/4/0/60b17e13-9d4f-42a4-b79c-7f099d8b7655.jpg","Eser Emlak","","","","","",""
"https://www.hepsiemlak.com/ankara-yenimahalle-yeni-bati-kiralik/daire/61626-949","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/1/6/3/7/7/3/4/72d475ac-d72b-436b-8f64-8696d23d3de9.jpeg","25","24.000","31-12-2024","Nüans'tan Yeni Batı'da Bağımsız Mutfaklı 2+1 Kiralık Sıfır Daire","2 +
                          1","85 m²","Sıfır Bina","6. Kat","Ankara / Yenimahalle / Yeni Batı Mah.","https://www.hepsiemlak.com/emlak-ofisi/nuans-gayrimenkul-61626/nuans-gayrimenkul-1117709","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/0/7/7/1/1/1/622312e0-89f0-4673-b791-e6b2dfe7932b.jpg","Nüans Gayrimenkul","Nüans
        Gayrimenkul","","","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-cayirbasi-kiralik/daire/29795-4882","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/0/2/9/2/0/4/4/9f87dd37-bad2-4f2a-a0b2-8e2b3ff05777.jpg","12","52.000","19-01-2025","Sariyer Çayırbaşı Özden Sitesinde 3+1 Kiralık Dubleks Daire","3 +
                          1","140 m²","16
                        Yaşında","En Üst Kat","İstanbul / Sarıyer / Çayırbaşı Mah.","https://www.hepsiemlak.com/emlak-ofisi/kabil-gayrimenkul-danismanlik-29795","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Kabil Gayrimenkul Danışmanlık","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/9/7/9/2/0/69be63cf-a8f8-4e2b-b999-e85d94e6ddc2.jpg","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-kiralik/daire/34400-4689","","35","67.000","19-01-2025","Kadıköy Suadiye Bağdat Cad. Yakın  2+1 Kiralık Daire Troyka'dan","2 +
                          1","100 m²","5
                        Yaşında","5. Kat","İstanbul / Kadıköy / Suadiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/troyka-real-estate-34400/troyka-real-estate-707428","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/2/4/7/0/7/79641321-8d72-4e67-ae0c-bc079db9f6d0.jpg","Troyka Real Estate","Troyka
        Real Estate","","","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/1/9/5/3/0/4/4/383bfb56-cddb-4640-b02b-1a28f9cf9b00.jpg","https://www.hepsiemlak.com/emlak-ofisi/troyka-real-estate-34400","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/0/4/4/3/0/2acafa23-04f2-45c2-93fc-3d53777824cf.jpg"
"https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/33600-49909","","22","190.000","16-01-2025","Kiralık Tarabya Nurol Da Modern Dekorasyonlu Manzaralı Şöminelii","4 +
                          1","220 m²","30
                        Yaşında","2. Kat","İstanbul / Sarıyer / Tarabya Mah.","https://www.hepsiemlak.com/emlak-ofisi/art-emlak-real-estate-33600/melek-saracer-692362","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/6/3/2/9/6/8eb1ca86-630c-407b-a042-09d6fb946578.jpg","Art Emlak / Real Estate","Melek
        Saraçer","","","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/2/0/6/2/1/3/4/ed5c4ec0-55c4-45bd-9a8c-8ee96d7c9786.jpg","https://www.hepsiemlak.com/emlak-ofisi/art-emlak-real-estate-33600","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/0/6/3/3/0/63619513-538d-4334-9dd3-c00b861912f0.jpg"
"https://www.hepsiemlak.com/edirne-merkez-istasyon-kiralik/daire/48410-192","","16","13.000","17-01-2025","Kiralık Edirne İstasyon Mahallesi Kısmi Eşyalı 1+1","1 +
                          1","40 m²","6
                        Yaşında","7. Kat","Edirne / Merkez / İstasyon Mah.","https://www.hepsiemlak.com/emlak-ofisi/katmalikleri-emlak-48410","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Katmalikleri Emlak","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/0/3/2/6/8/8/3/1660579676-9223561-38862308.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/1/4/8/4/0/5109bda2-1637-469a-85e8-c97034db1ade.jpg"
"https://www.hepsiemlak.com/izmir-buca-ataturk-kiralik/daire/144696-215","","4","15.000","18-01-2025","Ref’den Atatürk’de 55m2 Doğalgazlı Kapalı Mutfak Geniş Yaşam Alanı Üniversite Karşısı Kiralık 1+1","1 +
                          1","60 m²","4
                        Yaşında","Yüksek Giriş","İzmir / Buca / Atatürk Mah.","https://www.hepsiemlak.com/emlak-ofisi/ref-group-144696/nuh-karaman-4091828","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/2/8/1/9/0/4/a12f2b7e-446b-48b5-82a7-e156fcc3924f.jpg","Ref Group","Nuh
        Karaman","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/4/2/0/6/0/4/4/1737213462-963966-44060244.jpeg","https://www.hepsiemlak.com/emlak-ofisi/ref-group-144696","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/9/6/4/4/1/6fcc3f83-eccf-4283-89de-cda681bcfb86.jpg"
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/140005-35","","31","32.000","18-01-2025","Fulya Sitede 3+1 130m2 3 Tarafı Balkonlu Daire","3 +
                          1","140 m²","25
                        Yaşında","1. Kat","İstanbul / Beşiktaş / Dikilitaş Mah.","https://www.hepsiemlak.com/emlak-ofisi/kaboglu-emlak-140005","","Kaboğlu Emlak","","","","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/2/9/1/9/6/3/4/1731418537-5305371-43691921.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/0/0/0/4/1/01c5f4b3-21a9-4259-9fdb-6f2b5d4701ce.jpg"

"https://www.hepsiemlak.com/izmir-buca-yigitler-kiralik/daire/135709-155","","29","23.000","18-01-2025","En Güzel Konumda İçi Yapılı Doğalgazlı Daire!","3 +
                          1","110 m²","30
                        Yaşında","Ara Kat","İzmir / Buca / Yiğitler Mah.","https://www.hepsiemlak.com/emlak-ofisi/startkey-vizyon-gayrimenkul-135709","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Startkey Vizyon Gayrimenkul","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/7/9/5/5/0/4/4/5f4c5c7d-c846-4a11-abcd-5cc810be4ad8.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/0/7/5/3/1/576402e5-0ca5-466e-9c20-8737c8307623.jpg"
